rank,image_url,current_filename,suggested_filename,pages_count,pages_sample,scope,decorative,best_current_alt,suggested_alt,priority_reasons,recommended_action
70,https://brushonblock.com/cdn/shop/articles/Lip_Oil_Jessica_Front_Close_Up.jpg,Lip_Oil_Jessica_Front_Close_Up.jpg,brush-on-block-image-of-lips-wearing-protective-lip-oil.jpg,3,https://brushonblock.com/blogs/news/get-moving-this-month; https://brushonblock.com/blogs/news/reflections-on-international-womens-day-from-brush-on-block-founder-andrea-wetsel; https://brushonblock.com/blogs/news/why-your-lips-deserve-protective-lip-oil-spf-32,blog,yes,Brush On Block image of lips wearing Protective Lip Oil,,"decorative should be empty, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
71,https://brushonblock.com/cdn/shop/articles/Pic_of_kid_with_starfish.jpg,Pic_of_kid_with_starfish.jpg,brush-on-block-image-of-boy-snorkeling-with-starfish.jpg,3,https://brushonblock.com/blogs/news/sunscreen-101-chemical-or-physical-sunscreen; https://brushonblock.com/blogs/news/sunscreen-101-ingredients-to-leave-at-home; https://brushonblock.com/blogs/news/sunscreen-101-uva-and-uvb-rays,blog,yes,Brush On Block image of boy snorkeling with starfish,,"decorative should be empty, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
72,https://brushonblock.com/cdn/shop/files/Hyaluronic_Acid.jpg,Hyaluronic_Acid.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,9,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-refill; https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,yes,,,"reused multiple pages, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
73,https://brushonblock.com/cdn/shop/files/SPF_50_set_1.jpg,SPF_50_set_1.jpg,brush-on-block-spf-50-brush-refill-set.jpg,8,https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers; https://brushonblock.com/collections/kits,product,no,Brush On Block SPF 50 Brush + Refill Set,Brush On Block SPF 50 Brush + Refill Set,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
74,https://brushonblock.com/cdn/shop/files/SPF_50_set_2_rollover.jpg,SPF_50_set_2_rollover.jpg,brush-on-block-spf-50-brush-refill-set.jpg,8,https://brushonblock.com/collections/all; https://brushonblock.com/collections/best-sellers; https://brushonblock.com/collections/kits,product,no,Brush On Block SPF 50 Brush + Refill Set,Brush On Block SPF 50 Brush + Refill Set,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
75,https://brushonblock.com/cdn/shop/files/Chamomile_Extract_and_Bisabolol.jpg,Chamomile_Extract_and_Bisabolol.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,7,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set; https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,yes,,,"reused multiple pages, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
76,https://brushonblock.com/cdn/shop/files/Iron_Oxides.jpg,Iron_Oxides.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,7,https://brushonblock.com/products/bob-kids-spf-30; https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set; https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product,yes,,,"reused multiple pages, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
77,https://brushonblock.com/cdn/shop/products/BOB-Kids_Sun-Balm-2_e65daec9-20a9-440f-b0e1-db276bc8c5f9.png,BOB-Kids_Sun-Balm-2_e65daec9-20a9-440f-b0e1-db276bc8c5f9.png,brush-on-block-bob-kids-brush-and-balm-duo---model.png,7,https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids; https://brushonblock.com/collections/kits,product,no,BOB Kids Brush and Balm Duo - Model,BOB Kids Brush and Balm Duo - Model,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
78,https://brushonblock.com/cdn/shop/files/SPF_30_refill_new.jpg,SPF_30_refill_new.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-30.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Translucent Mineral Powder Sunscreen Refill SPF 30,Translucent Mineral Powder Sunscreen Refill SPF 30,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
79,https://brushonblock.com/cdn/shop/files/SPF_30_refill_new_model1.jpg,SPF_30_refill_new_model1.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-30.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Translucent Mineral Powder Sunscreen Refill SPF 30,Translucent Mineral Powder Sunscreen Refill SPF 30,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
80,https://brushonblock.com/cdn/shop/files/SPF_50_refill_new.jpg,SPF_50_refill_new.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Translucent Mineral Powder Sunscreen Refill SPF 50,Translucent Mineral Powder Sunscreen Refill SPF 50,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
81,https://brushonblock.com/cdn/shop/files/SPF_50_refill_new_model.jpg,SPF_50_refill_new_model.jpg,brush-on-block-translucent-mineral-powder-sunscreen-refill-spf-50.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Translucent Mineral Powder Sunscreen Refill SPF 50,Translucent Mineral Powder Sunscreen Refill SPF 50,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
82,https://brushonblock.com/cdn/shop/files/TOT_refill.jpg,TOT_refill.jpg,brush-on-block-touch-of-tan-mineral-powder-sunscreen-refill-spf-30.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,Touch of Tan Mineral Powder Sunscreen Refill SPF 30,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
83,https://brushonblock.com/cdn/shop/files/TOT_refill_02.jpg,TOT_refill_02.jpg,brush-on-block-touch-of-tan-spf-30-powder-refill.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Touch of Tan SPF 30 Powder Refill,Touch of Tan SPF 30 Powder Refill,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
84,https://brushonblock.com/cdn/shop/files/TOT_refill_07ca38a3-8521-447f-b679-4f3a725b8191.jpg,TOT_refill_07ca38a3-8521-447f-b679-4f3a725b8191.jpg,brush-on-block-touch-of-tan-spf-30-brush-refill-set.jpg,6,https://brushonblock.com/collections/kits; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Touch of Tan SPF 30 Brush + Refill Set,Touch of Tan SPF 30 Brush + Refill Set,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
85,https://brushonblock.com/cdn/shop/files/TOT_refillsecondary.jpg,TOT_refillsecondary.jpg,brush-on-block-touch-of-tan-spf-30-brush-refill-set.jpg,6,https://brushonblock.com/collections/kits; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Touch of Tan SPF 30 Brush + Refill Set,Touch of Tan SPF 30 Brush + Refill Set,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
86,https://brushonblock.com/cdn/shop/files/Safflower_Seed_Oil.jpg,Safflower_Seed_Oil.jpg,brush-on-block-spf-50-translucent-mineral-powder-sunscreen.jpg,5,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil; https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,yes,,,"reused multiple pages, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
87,https://brushonblock.com/cdn/shop/files/BOV_diagram.jpg,BOV_diagram.jpg,brush-on-block-bag-on-valve-bov-diagram.jpg,4,https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen; https://brushonblock.com/products/bob-kids-sunscreen-essentials-kit; https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen,product,no,Bag On Valve (BOV) diagram,Bag On Valve (BOV) diagram,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
88,https://brushonblock.com/cdn/shop/files/Sunflower_Seed_Oil_or_Wax.jpg,Sunflower_Seed_Oil_or_Wax.jpg,brush-on-block-sun-shine-spf-30-protective-lip-oil-duo.jpg,4,https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil; https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen; https://brushonblock.com/products/sun-shine-spf-30-protective-lip-oil-1,product,yes,,,"reused multiple pages, uppercase in name, underscores in name","Ensure alt="""" (decorative). No rename needed."
89,https://brushonblock.com/cdn/shop/files/TOT_refill_lower_image_1.jpg,TOT_refill_lower_image_1.jpg,brush-on-block-touch-of-tan-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,product,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
90,https://brushonblock.com/cdn/shop/files/TOT_refill_lower_image_2.jpg,TOT_refill_lower_image_2.jpg,brush-on-block-touch-of-tan-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,product,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
91,https://brushonblock.com/cdn/shop/files/TOT_refill_lower_image_3.jpg,TOT_refill_lower_image_3.jpg,brush-on-block-touch-of-tan-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,product,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
92,https://brushonblock.com/cdn/shop/files/TOT_refill_lower_image_4.jpg,TOT_refill_lower_image_4.jpg,brush-on-block-touch-of-tan-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-touch-of-tan-spf-30-brush-refill-set,product,yes,,,"uppercase in name, underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
93,https://brushonblock.com/cdn/shop/files/Squalane.jpg,Squalane.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,10,https://brushonblock.com/products/bob-kids-spf-30; https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil,product,yes,,,"reused multiple pages, uppercase in name","Ensure alt="""" (decorative). No rename needed."
94,https://brushonblock.com/cdn/shop/files/kids_combo_prod_1.jpg,kids_combo_prod_1.jpg,brush-on-block-bob-kids-brush-and-balm-duo.jpg,8,https://brushonblock.com/collections/all; https://brushonblock.com/collections/kids; https://brushonblock.com/collections/kits,product,no,BOB Kids Brush and Balm Duo,BOB Kids Brush and Balm Duo,"reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
95,https://brushonblock.com/cdn/shop/files/vitamin_c.jpg,vitamin_c.jpg,brush-on-block-spf-30-touch-of-tan-mineral-powder-sunscreen.jpg,7,https://brushonblock.com/products/brush-on-block; https://brushonblock.com/products/brush-on-block-nobody-s-perfect-daily-repair-oil; https://brushonblock.com/products/brush-on-block-refill,product,yes,,,"reused multiple pages, underscores in name","Ensure alt="""" (decorative). No rename needed."
96,https://brushonblock.com/cdn/shop/files/30_refill.jpg,30_refill.jpg,brush-on-block-spf-30-brush-refill-set.jpg,6,https://brushonblock.com/collections/kits; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Brush On Block SPF 30 Brush + Refill Set,Brush On Block SPF 30 Brush + Refill Set,"reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
97,https://brushonblock.com/cdn/shop/files/30_refillsecondary.jpg,30_refillsecondary.jpg,brush-on-block-woman-applying-spf-30-translucent-mineral-sunscreen.jpg,6,https://brushonblock.com/collections/kits; https://brushonblock.com/collections/new-arrivals; https://brushonblock.com/collections/refills,product,no,Woman applying Brush On Block SPF 30 Translucent Mineral Sunscreen,Woman applying Brush On Block SPF 30 Translucent Mineral Sunscreen,"reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
98,https://brushonblock.com/cdn/shop/files/Sheer-Genius-Duo-prod-1.jpg,Sheer-Genius-Duo-prod-1.jpg,brush-on-block-spf-50-50-duo---untinted.jpg,6,https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits; https://brushonblock.com/collections/lotions-moisturizers,product,no,Brush On Block SPF 50-50 Duo - Untinted,Brush On Block SPF 50-50 Duo - Untinted,"reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
99,https://brushonblock.com/cdn/shop/files/Sheer-Genius-Duo-model-1.jpg,Sheer-Genius-Duo-model-1.jpg,brush-on-block-spf-50-50-duo---model.jpg,5,https://brushonblock.com/collections/all; https://brushonblock.com/collections/kits; https://brushonblock.com/collections/lotions-moisturizers,product,no,Brush On Block SPF 50-50 Duo - Model,Brush On Block SPF 50-50 Duo - Model,"reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
100,https://brushonblock.com/cdn/shop/articles/blog_post_image_5806ae6c-1f92-432a-8d53-6a3f6736b8df.jpg,blog_post_image_5806ae6c-1f92-432a-8d53-6a3f6736b8df.jpg,brush-on-block-sunscreen-spray-you-can-feel-good-about.jpg,4,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/happy-earth-day-our-power-our-planet; https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about,blog,no,Sunscreen Spray You Can Feel Good About,Sunscreen Spray You Can Feel Good About,"reused multiple pages, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
101,https://brushonblock.com/cdn/shop/files/SPF-30-duo-model-2.jpg,SPF-30-duo-model-2.jpg,brush-on-block-spf-30-duo---mode-1.jpg,4,https://brushonblock.com/collections/kits; https://brushonblock.com/collections/sale; https://brushonblock.com/collections/sunscreen,product,no,Brush On Block SPF 30 Duo - Mode 1,Brush On Block SPF 30 Duo - Mode 1,"reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
102,https://brushonblock.com/cdn/shop/files/SPF-30-duo-prod-1.jpg,SPF-30-duo-prod-1.jpg,brush-on-block-spf-30-duo---translucent-touch-of-tan.jpg,4,https://brushonblock.com/collections/kits; https://brushonblock.com/collections/sale; https://brushonblock.com/collections/sunscreen,product,no,Brush On Block SPF 30 Duo - Translucent + Touch of Tan,Brush On Block SPF 30 Duo - Translucent + Touch of Tan,"reused multiple pages, uppercase in name",Optional: re-upload with SEO filename; update content references.
103,https://brushonblock.com/cdn/shop/files/face-oil_prod1.jpg,face-oil_prod1.jpg,brush-on-block-nobodys-perfect-daily-face-oil.jpg,4,https://brushonblock.com/blogs/news/2-650-miles-under-the-sun-on-the-pacific-crest-trail; https://brushonblock.com/collections/all; https://brushonblock.com/collections/lotions-moisturizers,product,no,Nobody's Perfect Daily Face Oil,Nobody's Perfect Daily Face Oil,"reused multiple pages, underscores in name",Optional: re-upload with SEO filename; update content references.
104,https://brushonblock.com/cdn/shop/files/kids_brush_lower_3.png,kids_brush_lower_3.png,brush-on-block-about-us-natural-mineral-based-suncreen.png,4,https://brushonblock.com/pages/about-us; https://brushonblock.com/products/bob-kids-duo; https://brushonblock.com/products/bob-kids-spf-30,product,yes,,,"reused multiple pages, underscores in name","Ensure alt="""" (decorative). No rename needed."
105,https://brushonblock.com/cdn/shop/articles/Aus_SPF_Aware_blog_header_df397716-f998-4ee8-9540-36dd0689dbcb.jpg,Aus_SPF_Aware_blog_header_df397716-f998-4ee8-9540-36dd0689dbcb.jpg,brush-on-block-how-australia-took-on-skin-cancer.jpg,4,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/how-australia-pushed-back-on-skin-cancer; https://brushonblock.com/blogs/news/sun-protection-for-kids-a-dermatologist-moms-guide,blog,no,How Australia Took on Skin Cancer,How Australia Took on Skin Cancer,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
106,https://brushonblock.com/cdn/shop/articles/SCAM-blog-post_8077ae4a-7146-4517-a492-f65b54f368b4.jpg,SCAM-blog-post_8077ae4a-7146-4517-a492-f65b54f368b4.jpg,brush-on-block-skin-cancer-awareness-month.jpg,4,https://brushonblock.com/blogs/news; https://brushonblock.com/blogs/news/skin-cancer-awareness-profile-katie-ostrovsky; https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about,blog,no,Skin Cancer Awareness Month,Skin Cancer Awareness Month,"reused multiple pages, uppercase in name, underscores in name",Optional: re-upload with SEO filename; update content references.
107,https://brushonblock.com/cdn/shop/files/30_refill_lower_image_1.jpg,30_refill_lower_image_1.jpg,brush-on-block-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,yes,,,"underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
108,https://brushonblock.com/cdn/shop/files/30_refill_lower_image_2.jpg,30_refill_lower_image_2.jpg,brush-on-block-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,yes,,,"underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
109,https://brushonblock.com/cdn/shop/files/30_refill_lower_image_3.jpg,30_refill_lower_image_3.jpg,brush-on-block-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,yes,,,"underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
110,https://brushonblock.com/cdn/shop/files/30_refill_lower_image_4.jpg,30_refill_lower_image_4.jpg,brush-on-block-spf-30-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-30-brush-refill-set,product,yes,,,"underscores in name, generic filename","Ensure alt="""" (decorative). No rename needed."
111,https://brushonblock.com/cdn/shop/files/essentials_kit-lower_image_3.jpg,essentials_kit-lower_image_3.jpg,brush-on-block-spf-30-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/spf-essentials-kit,product,no,Brush On Block SPF 30 Mineral Powder Sunscreen,Brush On Block SPF 30 Mineral Powder Sunscreen,"underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
112,https://brushonblock.com/cdn/shop/files/essentials_kit-lower_image_4.jpg,essentials_kit-lower_image_4.jpg,brush-on-block-spf-30-mineral-powder-sunscreen.jpg,1,https://brushonblock.com/products/spf-essentials-kit,product,no,Brush On Block SPF 30 Mineral Powder Sunscreen,Brush On Block SPF 30 Mineral Powder Sunscreen,"underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
113,https://brushonblock.com/cdn/shop/files/lower_image_1.jpg,lower_image_1.jpg,brush-on-block-spf-50-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,no,Brush On Block SPF 50 Brush + Refill Set,Brush On Block SPF 50 Brush + Refill Set,"underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
114,https://brushonblock.com/cdn/shop/files/lower_image_2.jpg,lower_image_2.jpg,brush-on-block-person-inserting-a-spf-50-mineral-powder-refill-into.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,no,Person inserting a Brush On Block SPF 50 mineral powder refill into the Brush On Block SPF 50 brush.,Person inserting a Brush On Block SPF 50 mineral powder refill into the Brush On Block SPF 50 brush.,"underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
115,https://brushonblock.com/cdn/shop/files/lower_image_3.jpg,lower_image_3.jpg,brush-on-block-hand-holding-a-small-container-of-brushon-block-spf.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,no,Hand holding a small container of BrushOn Block SPF 50 mineral powder sunscreen refill.,Hand holding a small container of BrushOn Block SPF 50 mineral powder sunscreen refill.,"underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
116,https://brushonblock.com/cdn/shop/files/lower_image_4.jpg,lower_image_4.jpg,brush-on-block-spf-50-brush-refill-set.jpg,1,https://brushonblock.com/products/brush-on-block-spf-50-brush-refill-set,product,no,Brush On Block SPF 50 Brush + Refill Set,Brush On Block SPF 50 Brush + Refill Set,"underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
117,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-birthday-1.png,icon-birthday-1.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
118,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-facebook-like-1.png,icon-facebook-like-1.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
119,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-facebook-share-1.png,icon-facebook-share-1.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
120,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-instagram-follow-1.png,icon-instagram-follow-1.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
121,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-online-order-1.png,icon-online-order-1.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
122,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-recycle.png,icon-recycle.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
123,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-review.png,icon-review.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
124,https://cdn.shopify.com/s/files/1/0408/3481/files/icon-store-credit-1.png,icon-store-credit-1.png,brush-on-block-icon.png,1,https://brushonblock.com/pages/rewards,page,yes,Icon,,decorative should be empty,"Ensure alt="""" (decorative). No rename needed."
125,https://brushonblock.com/cdn/shop/articles/IMG_0014.2.jpg,IMG_0014.2.jpg,brush-on-block-brushes.jpg,3,https://brushonblock.com/blogs/news/how-it-is-made-the-making-of-our-brush; https://brushonblock.com/blogs/news/reflections-on-international-womens-day-from-brush-on-block-founder-andrea-wetsel; https://brushonblock.com/blogs/news/why-brush-on-block-is-best,blog,no,Brush On Block® brushes,Brush On Block® brushes,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
126,https://brushonblock.com/cdn/shop/articles/IMG_1470_1.jpg,IMG_1470_1.jpg,brush-on-block-no-slip-no-drip---all-grip.jpg,3,https://brushonblock.com/blogs/news/brush-on-block-essentials; https://brushonblock.com/blogs/news/no-slip-no-drip-all-grip; https://brushonblock.com/blogs/news/what-is-an-antioxidant-and-why-do-i-care,blog,no,"No Slip, No Drip - All Grip!","No Slip, No Drip - All Grip!","uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
127,https://brushonblock.com/cdn/shop/articles/IMG_2359_1.jpg,IMG_2359_1.jpg,brush-on-block-men-sun-care-why-you-should-encourage-the-men.jpg,3,https://brushonblock.com/blogs/news/ask-a-dermatologist-sun-care-q-a-with-dr-lauren-boudreaux; https://brushonblock.com/blogs/news/help-little-ones-learn-sun-safety-the-down-under-way; https://brushonblock.com/blogs/news/men-sun-care-why-you-should-encourage-the-men-in-your-life-to-apply-sunscreen-daily,blog,no,Men & Sun Care: Why You Should Encourage The Men In Your Life To Apply Sunscreen Daily,Men & Sun Care: Why You Should Encourage The Men In Your Life To Apply Sunscreen Daily,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
128,https://brushonblock.com/cdn/shop/articles/IMG_4510_copy_1.jpg,IMG_4510_copy_1.jpg,brush-on-block-image-of-at-the-beach.jpg,3,https://brushonblock.com/blogs/news/be-prepared-with-must-haves-for-back-to-school-backpacks; https://brushonblock.com/blogs/news/help-little-ones-learn-sun-safety-the-down-under-way; https://brushonblock.com/blogs/news/ocean-friendly-blog-post-title,blog,no,image of Brush On Block at the beach,image of Brush On Block at the beach,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
129,https://brushonblock.com/cdn/shop/articles/IMG_7966.JPG,IMG_7966.JPG,brush-on-block-image-of-phones-showing-uv-index.jpg,3,https://brushonblock.com/blogs/news/love-your-lips-self-care-tips; https://brushonblock.com/blogs/news/that-uv-index-on-your-phone-what-it-means; https://brushonblock.com/blogs/news/top-spring-break-destinations-for-families,blog,no,BRUSH ON BLOCK® image of phones showing UV Index,BRUSH ON BLOCK® image of phones showing UV Index,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
130,https://brushonblock.com/cdn/shop/articles/IMG_8450.JPG,IMG_8450.JPG,brush-on-block-image-of-planner-page-with.jpg,3,https://brushonblock.com/blogs/news/family-activities-to-keep-everyone-sane-over-the-holidays; https://brushonblock.com/blogs/news/set-yourself-up-for-success-in-2020; https://brushonblock.com/blogs/news/sun-protection-in-the-snow,blog,no,Image of planner page with Brush On Block,Image of planner page with Brush On Block,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
131,https://brushonblock.com/cdn/shop/articles/Photo_2018-03-17_2_32_41_PM-2_preview.jpg,Photo_2018-03-17_2_32_41_PM-2_preview.jpg,brush-on-block-drug-facts-on-back-of-box.jpg,3,https://brushonblock.com/blogs/news/sunscreen-101-chemical-or-physical-sunscreen; https://brushonblock.com/blogs/news/sunscreen-101-ingredients-to-leave-at-home; https://brushonblock.com/blogs/news/the-reason-you-should-choose-mineral-makeup-sunscreen-over-traditional-lotion,blog,no,Drug Facts on back of Brush On Block box,Drug Facts on back of Brush On Block box,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
132,https://brushonblock.com/cdn/shop/articles/Photo_2018-07-16_5_48_15_PM.jpg,Photo_2018-07-16_5_48_15_PM.jpg,brush-on-block-help-little-ones-learn-sun-safety-the-down-under.jpg,3,https://brushonblock.com/blogs/news/help-little-ones-learn-sun-safety-the-down-under-way; https://brushonblock.com/blogs/news/men-sun-care-why-you-should-encourage-the-men-in-your-life-to-apply-sunscreen-daily; https://brushonblock.com/blogs/news/ocean-friendly-blog-post-title,blog,no,Help Little Ones Learn Sun Safety the Down Under Way!,Help Little Ones Learn Sun Safety the Down Under Way!,"uppercase in name, underscores in name, generic filename",Optional: re-upload with SEO filename; update content references.
